Command: ,7.50T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
634011070 ,4891.84 ,10.13 ,48.83 ,48.83 , 
634081888 ,4892.90 ,5.61 ,227.87 ,122.88 , 
634155506 ,4890.77 ,6.95 ,81.38 ,101.64 , 
634229068 ,4896.09 ,9.09 ,130.21 ,149.17 , 
634302658 ,4896.09 ,9.09 ,130.21 ,56.38 , 
634376204 ,4891.30 ,9.21 ,179.04 ,184.86 , 
634449806 ,4891.30 ,12.08 ,162.76 ,171.48 , 
634523430 ,4892.37 ,6.38 ,81.38 ,56.38 , 
634596948 ,4890.24 ,11.75 ,65.10 ,28.19 , 
634670558 ,4893.96 ,8.89 ,146.48 ,129.19 , 
634744152 ,4894.50 ,7.38 ,146.48 ,84.57 , 
634817710 ,4896.63 ,8.20 ,81.38 ,101.64 , 
634891298 ,4888.65 ,3.32 ,146.48 ,84.57 , 
634964874 ,4889.71 ,9.74 ,162.76 ,122.88 , 
635038482 ,4892.90 ,5.61 ,65.10 ,28.19 , 
635112028 ,4892.37 ,11.06 ,48.83 ,48.83 , 
635185602 ,4888.65 ,12.88 ,162.76 ,101.64 , 
635259240 ,4892.37 ,6.38 ,227.87 ,149.17 , 
635332806 ,4892.37 ,9.71 ,81.38 ,56.38 , 
635406330 ,4887.59 ,16.85 ,113.93 ,56.38 , 
635479968 ,4889.71 ,13.37 ,195.31 ,176.05 , 
635553596 ,4891.84 ,10.13 ,32.55 ,74.59 , 
635627118 ,4892.37 ,6.38 ,97.66 ,84.57 , 
635700658 ,4894.50 ,7.38 ,179.04 ,225.53 , 
635774326 ,4900.36 ,6.98 ,65.10 ,28.19 , 
635847854 ,4890.24 ,11.75 ,97.66 ,129.19 , 
635921482 ,4896.09 ,13.02 ,211.59 ,197.34 , 
635995100 ,4890.77 ,12.66 ,65.10 ,74.59 , 
636068628 ,4890.24 ,11.75 ,179.04 ,122.88 , 
636142250 ,4898.23 ,5.62 ,146.48 ,129.19 , 
636215810 ,4890.77 ,12.66 ,81.38 ,28.19 , 
636289352 ,4896.63 ,12.00 ,130.21 ,74.59 , 
636362942 ,4890.77 ,12.66 ,65.10 ,28.19 , 
636436496 ,4897.69 ,8.81 ,227.87 ,101.64 , 
636510094 ,4897.16 ,8.46 ,97.66 ,0.00 , 
636583442 ,4898.76 ,4.80 ,65.10 ,28.19 , 
636657194 ,4890.24 ,7.36 ,81.38 ,56.38 , 
636730800 ,4888.12 ,3.68 ,113.93 ,74.59 , 
636804402 ,4888.65 ,9.06 ,81.38 ,74.59 , 
636877942 ,4890.77 ,12.66 ,227.87 ,140.95 , 
636951602 ,4890.24 ,3.32 ,81.38 ,28.19 , 
637025100 ,4894.50 ,7.38 ,97.66 ,48.83 , 
637098668 ,4892.37 ,11.17 ,97.66 ,129.19 , 
637172298 ,4886.52 ,0.92 ,179.04 ,122.88 , 
637245850 ,4894.50 ,11.77 ,162.76 ,112.76 , 
637319446 ,4892.90 ,5.61 ,97.66 ,84.57 , 
637392970 ,4886.52 ,0.92 ,32.55 ,28.19 , 
637466536 ,4893.96 ,7.32 ,195.31 ,129.19 , 
637540152 ,4888.65 ,9.06 ,81.38 ,56.38 , 
637613686 ,4904.10 ,0.93 ,130.21 ,28.19 , 
637687278 ,4892.90 ,7.20 ,81.38 ,56.38 , 
637760826 ,4889.18 ,8.87 ,97.66 ,48.83 , 
637834386 ,4888.12 ,3.68 ,97.66 ,97.66 , 
637907930 ,4897.16 ,13.94 ,179.04 ,268.92 , 
637981592 ,4894.50 ,11.77 ,81.38 ,74.59 , 
638055140 ,4888.12 ,3.68 ,179.04 ,140.95 , 
638128696 ,4901.96 ,2.77 ,97.66 ,97.66 , 
