Command: ,8.75T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
371777006 ,5366.09 ,4.00 ,81.38 ,56.38 , 
371844128 ,5356.51 ,8.63 ,179.04 ,112.76 , 
371911330 ,5362.25 ,11.07 ,179.04 ,28.19 , 
371978474 ,5361.61 ,17.28 ,65.10 ,28.19 , 
372045616 ,5353.96 ,7.72 ,292.97 ,176.05 , 
372112756 ,5363.53 ,12.18 ,130.21 ,101.64 , 
372179934 ,5357.78 ,12.30 ,48.83 ,0.00 , 
372246864 ,5364.81 ,8.36 ,179.04 ,122.88 , 
372314202 ,5360.97 ,10.67 ,97.66 ,48.83 , 
372381314 ,5362.89 ,0.00 ,32.55 ,28.19 , 
372448316 ,5362.25 ,12.76 ,179.04 ,122.88 , 
372515642 ,5363.53 ,5.86 ,97.66 ,48.83 , 
372582696 ,5368.65 ,8.38 ,48.83 ,48.83 , 
372649850 ,5362.89 ,13.42 ,244.14 ,84.57 , 
372717042 ,5366.09 ,4.00 ,211.59 ,156.96 , 
372784184 ,5366.09 ,4.00 ,81.38 ,28.19 , 
372851302 ,5362.25 ,12.76 ,179.04 ,74.59 , 
372918508 ,5353.96 ,11.52 ,97.66 ,48.83 , 
372985628 ,5368.01 ,4.44 ,97.66 ,129.19 , 
373052746 ,5369.29 ,1.11 ,146.48 ,48.83 , 
373119882 ,5364.81 ,1.92 ,81.38 ,56.38 , 
373187030 ,5365.45 ,7.27 ,162.76 ,156.96 , 
373254194 ,5366.09 ,13.07 ,309.24 ,149.17 , 
373321370 ,5356.51 ,12.74 ,81.38 ,56.38 , 
373388488 ,5356.51 ,13.84 ,32.55 ,56.38 , 
373455596 ,5364.17 ,14.40 ,162.76 ,74.59 , 
373522764 ,5361.61 ,3.99 ,81.38 ,74.59 , 
373589870 ,5362.89 ,13.42 ,179.04 ,74.59 , 
373657042 ,5366.09 ,4.00 ,227.87 ,28.19 , 
373724162 ,5359.06 ,10.13 ,65.10 ,28.19 , 
373791328 ,5362.89 ,13.28 ,309.24 ,220.18 , 
373858518 ,5361.61 ,5.85 ,227.87 ,140.95 , 
373925638 ,5360.33 ,9.83 ,32.55 ,28.19 , 
373992732 ,5362.89 ,13.28 ,65.10 ,112.76 , 
374059930 ,5357.14 ,9.94 ,97.66 ,48.83 , 
374127050 ,5357.78 ,11.69 ,195.31 ,169.15 , 
374194260 ,5359.06 ,11.96 ,358.07 ,149.17 , 
374261396 ,5357.14 ,11.64 ,227.87 ,101.64 , 
374328584 ,5362.25 ,12.76 ,244.14 ,97.66 , 
374395684 ,5367.37 ,4.00 ,292.97 ,176.05 , 
374462820 ,5369.29 ,7.77 ,113.93 ,28.19 , 
374529960 ,5362.25 ,12.76 ,146.48 ,48.83 , 
374597126 ,5352.05 ,9.80 ,146.48 ,176.05 , 
374664284 ,5365.45 ,2.93 ,423.18 ,74.59 , 
374731436 ,5363.53 ,12.18 ,227.87 ,74.59 , 
374798628 ,5362.25 ,4.43 ,97.66 ,48.83 , 
374865736 ,5361.61 ,10.56 ,97.66 ,48.83 , 
374932900 ,5355.87 ,12.73 ,65.10 ,28.19 , 
375000078 ,5357.14 ,13.39 ,113.93 ,56.38 , 
