Command: ,5.00T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
69775380 ,3687.62 ,5.76 ,81.38 ,28.19 , 
69869830 ,3683.69 ,3.94 ,146.48 ,176.05 , 
69967494 ,3686.71 ,5.15 ,81.38 ,28.19 , 
70065074 ,3687.32 ,5.51 ,195.31 ,146.48 , 
70162738 ,3685.20 ,5.15 ,65.10 ,28.19 , 
70260326 ,3689.73 ,2.10 ,65.10 ,28.19 , 
70357952 ,3681.58 ,1.88 ,130.21 ,140.95 , 
70455630 ,3686.71 ,5.15 ,195.31 ,169.15 , 
70553260 ,3687.32 ,5.51 ,276.69 ,74.59 , 
70650836 ,3692.16 ,2.92 ,195.31 ,176.05 , 
70748470 ,3693.97 ,3.79 ,244.14 ,212.84 , 
70846092 ,3690.94 ,0.00 ,65.10 ,56.38 , 
70943526 ,3687.01 ,6.03 ,97.66 ,48.83 , 
71041252 ,3690.34 ,2.77 ,48.83 ,48.83 , 
71138878 ,3684.30 ,5.75 ,146.48 ,169.15 , 
71236544 ,3690.04 ,1.57 ,81.38 ,56.38 , 
71334106 ,3692.46 ,2.62 ,81.38 ,28.19 , 
71431706 ,3687.62 ,5.76 ,113.93 ,74.59 , 
71529348 ,3689.43 ,1.89 ,81.38 ,28.19 , 
71626946 ,3686.11 ,6.03 ,48.83 ,0.00 , 
71724354 ,3687.62 ,5.76 ,48.83 ,0.00 , 
71821968 ,3687.32 ,5.51 ,97.66 ,48.83 , 
71919752 ,3688.83 ,3.67 ,97.66 ,48.83 , 
72017352 ,3686.71 ,5.15 ,81.38 ,28.19 , 
72114986 ,3682.49 ,1.88 ,48.83 ,48.83 , 
72212570 ,3690.34 ,0.52 ,113.93 ,56.38 , 
72310198 ,3689.73 ,1.39 ,97.66 ,48.83 , 
72407760 ,3693.37 ,3.44 ,146.48 ,129.19 , 
72505408 ,3691.25 ,0.52 ,146.48 ,169.15 , 
72603010 ,3685.20 ,5.15 ,179.04 ,140.95 , 
72700602 ,3686.41 ,5.04 ,179.04 ,140.95 , 
72798206 ,3689.43 ,4.29 ,292.97 ,253.72 , 
72895796 ,3690.34 ,1.05 ,81.38 ,56.38 , 
72993350 ,3690.64 ,0.52 ,97.66 ,48.83 , 
