Command: ,10.00T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
455419136 ,5984.84 ,1.38 ,48.83 ,48.83 , 
455481254 ,5984.84 ,1.38 ,325.52 ,149.17 , 
455541496 ,5985.63 ,2.39 ,130.21 ,101.64 , 
455601670 ,5976.89 ,13.12 ,146.48 ,84.57 , 
455661860 ,5984.04 ,1.38 ,260.42 ,122.88 , 
455722018 ,5986.43 ,1.38 ,146.48 ,84.57 , 
455782164 ,5976.89 ,15.31 ,65.10 ,56.38 , 
455842362 ,5977.68 ,13.75 ,113.93 ,74.59 , 
455902530 ,5984.84 ,1.38 ,179.04 ,149.17 , 
455962682 ,5986.43 ,1.38 ,81.38 ,56.38 , 
456022814 ,5984.04 ,1.38 ,65.10 ,112.76 , 
456083026 ,5968.17 ,15.08 ,211.59 ,240.86 , 
456143266 ,5975.30 ,15.85 ,130.21 ,56.38 , 
456203422 ,5976.89 ,17.23 ,97.66 ,84.57 , 
456263562 ,5975.30 ,15.85 ,48.83 ,0.00 , 
456323532 ,5986.43 ,1.38 ,48.83 ,84.57 , 
456383868 ,5975.30 ,15.85 ,81.38 ,56.38 , 
456444086 ,5976.10 ,16.67 ,260.42 ,156.96 , 
456504288 ,5984.04 ,1.38 ,260.42 ,122.88 , 
456564422 ,5985.63 ,2.39 ,358.07 ,56.38 , 
456624546 ,5986.43 ,1.38 ,439.45 ,48.83 , 
456684722 ,5976.10 ,14.48 ,211.59 ,101.64 , 
456744944 ,5984.84 ,1.38 ,32.55 ,56.38 , 
456805024 ,5985.63 ,2.39 ,81.38 ,74.59 , 
456865176 ,5985.63 ,2.39 ,81.38 ,28.19 , 
456925342 ,5984.84 ,2.76 ,130.21 ,56.38 , 
456985540 ,5984.04 ,1.38 ,81.38 ,28.19 , 
457045678 ,5985.63 ,2.39 ,276.69 ,171.48 , 
457105866 ,5986.43 ,1.38 ,292.97 ,48.83 , 
457166004 ,5984.84 ,2.76 ,130.21 ,56.38 , 
457226180 ,5984.84 ,1.38 ,195.31 ,84.57 , 
457286348 ,5986.43 ,3.65 ,130.21 ,56.38 , 
457346504 ,5985.63 ,2.39 ,32.55 ,56.38 , 
457406624 ,5984.04 ,1.38 ,162.76 ,112.76 , 
457466866 ,5976.10 ,14.48 ,130.21 ,140.95 , 
457527044 ,5986.43 ,3.65 ,48.83 ,48.83 , 
457587116 ,5986.43 ,1.38 ,113.93 ,74.59 , 
457647318 ,5984.84 ,1.38 ,244.14 ,258.37 , 
457707498 ,5984.84 ,1.38 ,81.38 ,56.38 , 
457767632 ,5985.63 ,2.39 ,81.38 ,28.19 , 
457827770 ,5986.43 ,1.38 ,48.83 ,48.83 , 
457887934 ,5984.04 ,1.38 ,32.55 ,28.19 , 
457948118 ,5985.63 ,2.39 ,81.38 ,56.38 , 
458008262 ,5986.43 ,3.65 ,146.48 ,48.83 , 
458068432 ,5986.43 ,1.38 ,113.93 ,112.76 , 
458128634 ,5984.84 ,1.38 ,276.69 ,225.53 , 
458188818 ,5986.43 ,1.38 ,48.83 ,48.83 , 
458248918 ,5985.63 ,2.39 ,325.52 ,184.86 , 
458309132 ,5976.89 ,13.12 ,146.48 ,97.66 , 
458369308 ,5984.84 ,1.38 ,65.10 ,56.38 , 
458429434 ,5992.81 ,6.33 ,162.76 ,171.48 , 
458489660 ,5967.38 ,1.37 ,325.52 ,101.64 , 
458549822 ,5996.00 ,1.38 ,65.10 ,28.19 , 
458609936 ,5976.89 ,15.86 ,130.21 ,101.64 , 
458670192 ,5978.48 ,14.49 ,113.93 ,56.38 , 
458730324 ,5967.38 ,1.37 ,65.10 ,122.88 , 
458790470 ,5969.75 ,1.37 ,113.93 ,56.38 , 
458850614 ,5988.02 ,18.97 ,113.93 ,112.76 , 
458910802 ,5979.27 ,1.38 ,65.10 ,74.59 , 
458970906 ,5976.89 ,1.37 ,130.21 ,122.88 , 
459031120 ,5979.27 ,1.38 ,162.76 ,149.17 , 
459091266 ,5985.63 ,14.53 ,179.04 ,149.17 , 
459151442 ,5979.27 ,1.38 ,244.14 ,195.31 , 
459211580 ,5976.89 ,1.37 ,162.76 ,101.64 , 
459271740 ,5978.48 ,2.38 ,227.87 ,230.75 , 
459331868 ,5985.63 ,14.53 ,81.38 ,56.38 , 
459392026 ,5978.48 ,2.38 ,81.38 ,28.19 , 
459452148 ,5978.48 ,2.38 ,227.87 ,171.48 , 
459512336 ,5978.48 ,2.38 ,97.66 ,84.57 , 
459572438 ,5976.89 ,1.37 ,146.48 ,97.66 , 
459632632 ,5979.27 ,1.38 ,260.42 ,184.86 , 
459692814 ,5978.48 ,2.38 ,130.21 ,112.76 , 
459752940 ,5978.48 ,2.38 ,81.38 ,101.64 , 
459813054 ,5985.63 ,14.53 ,97.66 ,48.83 , 
459873182 ,5986.43 ,15.91 ,227.87 ,184.86 , 
459933406 ,5978.48 ,2.38 ,113.93 ,112.76 , 
459993532 ,5979.27 ,1.38 ,113.93 ,74.59 , 
460053662 ,6004.00 ,2.77 ,227.87 ,171.48 , 
460113820 ,5994.41 ,13.83 ,341.80 ,176.05 , 
460174018 ,5979.27 ,1.38 ,130.21 ,74.59 , 
460234128 ,6005.60 ,1.39 ,65.10 ,56.38 , 
460294240 ,5995.20 ,12.45 ,65.10 ,28.19 , 
460354426 ,6003.20 ,1.39 ,113.93 ,56.38 , 
460414594 ,5979.27 ,1.38 ,211.59 ,220.18 , 
460474788 ,5977.68 ,1.38 ,81.38 ,28.19 , 
460534894 ,5996.00 ,13.20 ,113.93 ,112.76 , 
460595098 ,5977.68 ,1.38 ,179.04 ,156.96 , 
460655252 ,5979.27 ,1.38 ,97.66 ,84.57 , 
460715344 ,5995.20 ,14.58 ,81.38 ,101.64 , 
460775536 ,5977.68 ,2.75 ,97.66 ,48.83 , 
460835634 ,5986.43 ,15.91 ,81.38 ,140.95 , 
460895848 ,5980.07 ,1.38 ,146.48 ,84.57 , 
460955960 ,5995.20 ,14.58 ,146.48 ,84.57 , 
461016128 ,5979.27 ,1.38 ,113.93 ,122.88 , 
461076286 ,5996.00 ,15.41 ,113.93 ,56.38 , 
461136428 ,5979.27 ,1.38 ,81.38 ,28.19 , 
461196522 ,5994.41 ,15.95 ,48.83 ,0.00 , 
461256498 ,5996.00 ,15.41 ,48.83 ,48.83 , 
461316810 ,5987.23 ,15.36 ,162.76 ,74.59 , 
461377008 ,5978.48 ,2.38 ,113.93 ,122.88 , 
461437160 ,5976.89 ,1.37 ,130.21 ,101.64 , 
461497326 ,6004.00 ,1.39 ,81.38 ,28.19 , 
461557416 ,5996.00 ,13.20 ,65.10 ,112.76 , 
461617608 ,6005.60 ,1.39 ,195.31 ,169.15 , 
461677774 ,5977.68 ,2.75 ,130.21 ,149.17 , 
461737932 ,6004.00 ,1.39 ,48.83 ,84.57 , 
461798018 ,5996.80 ,15.96 ,130.21 ,28.19 , 
461858232 ,5976.89 ,1.37 ,113.93 ,240.86 , 
461918388 ,5977.68 ,2.75 ,97.66 ,129.19 , 
461978492 ,5994.41 ,15.95 ,97.66 ,84.57 , 
462038638 ,5988.82 ,15.92 ,146.48 ,84.57 , 
462098824 ,5976.89 ,1.37 ,113.93 ,101.64 , 
462158978 ,5977.68 ,2.75 ,195.31 ,176.05 , 
462219120 ,5976.89 ,1.37 ,65.10 ,74.59 , 
462279232 ,5980.07 ,1.38 ,325.52 ,101.64 , 
462339428 ,5977.68 ,1.38 ,81.38 ,56.38 , 
462399534 ,5978.48 ,2.38 ,227.87 ,149.17 , 
462459730 ,5977.68 ,1.38 ,130.21 ,184.86 , 
462519890 ,5978.48 ,2.38 ,97.66 ,48.83 , 
462579958 ,5977.68 ,1.38 ,341.80 ,84.57 , 
462640148 ,5992.81 ,15.70 ,162.76 ,122.88 , 
462700334 ,5985.63 ,14.53 ,244.14 ,84.57 , 
462760466 ,5978.48 ,14.49 ,130.21 ,74.59 , 
462820610 ,5993.61 ,1.38 ,244.14 ,176.05 , 
462880758 ,5995.20 ,2.40 ,227.87 ,230.75 , 
462940908 ,5986.43 ,17.28 ,162.76 ,28.19 , 
463001088 ,5969.75 ,1.37 ,65.10 ,74.59 , 
463061198 ,5993.61 ,1.38 ,292.97 ,176.05 , 
463121394 ,5986.43 ,1.38 ,292.97 ,0.00 , 
463181372 ,5976.89 ,15.31 ,244.14 ,297.01 , 
463241764 ,5986.43 ,1.38 ,97.66 ,84.57 , 
