Command: ,8.75T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
543152638 ,5361.61 ,3.99 ,292.97 ,212.84 , 
543217496 ,5370.57 ,0.00 ,16.27 ,28.19 , 
543284348 ,5373.13 ,9.88 ,162.76 ,28.19 , 
543351548 ,5366.09 ,4.00 ,146.48 ,169.15 , 
543418620 ,5369.93 ,2.22 ,162.76 ,156.96 , 
543485664 ,5364.81 ,3.32 ,32.55 ,28.19 , 
543552654 ,5364.17 ,7.75 ,97.66 ,48.83 , 
543619682 ,5369.29 ,1.11 ,65.10 ,112.76 , 
543686784 ,5360.97 ,5.07 ,65.10 ,28.19 , 
543753816 ,5368.65 ,3.33 ,162.76 ,101.64 , 
543820896 ,5369.93 ,2.22 ,179.04 ,149.17 , 
543887920 ,5370.57 ,11.70 ,260.42 ,122.88 , 
543955010 ,5373.78 ,4.01 ,81.38 ,140.95 , 
544022002 ,5365.45 ,8.86 ,211.59 ,74.59 , 
544089048 ,5376.99 ,12.24 ,113.93 ,74.59 , 
544156132 ,5369.93 ,1.11 ,130.21 ,28.19 , 
544223144 ,5367.37 ,4.00 ,130.21 ,184.86 , 
544290198 ,5375.70 ,9.89 ,130.21 ,112.76 , 
544357246 ,5370.57 ,1.92 ,81.38 ,56.38 , 
544424222 ,5376.99 ,8.69 ,195.31 ,48.83 , 
544491296 ,5365.45 ,4.43 ,195.31 ,297.01 , 
544558378 ,5368.65 ,0.00 ,179.04 ,184.86 , 
544625282 ,5365.45 ,2.93 ,146.48 ,129.19 , 
544692480 ,5371.21 ,17.45 ,65.10 ,28.19 , 
544759496 ,5370.57 ,0.00 ,97.66 ,84.57 , 
544826370 ,5369.29 ,6.18 ,162.76 ,156.96 , 
544893606 ,5367.37 ,4.00 ,113.93 ,74.59 , 
544960616 ,5369.29 ,1.11 ,32.55 ,28.19 , 
545027646 ,5371.21 ,11.10 ,97.66 ,48.83 , 
545094710 ,5375.70 ,9.10 ,179.04 ,184.86 , 
545161772 ,5365.45 ,7.27 ,179.04 ,74.59 , 
545228794 ,5371.21 ,11.27 ,146.48 ,84.57 , 
545295868 ,5364.17 ,7.75 ,65.10 ,28.19 , 
545362860 ,5367.37 ,4.00 ,97.66 ,97.66 , 
545429884 ,5385.35 ,1.12 ,162.76 ,28.19 , 
545496992 ,5371.21 ,1.11 ,97.66 ,129.19 , 
545564024 ,5370.57 ,7.69 ,211.59 ,171.48 , 
545631070 ,5383.42 ,4.86 ,113.93 ,112.76 , 
545698144 ,5369.29 ,1.11 ,48.83 ,48.83 , 
545765116 ,5365.45 ,4.43 ,162.76 ,156.96 , 
545832224 ,5373.13 ,9.88 ,113.93 ,74.59 , 
545899246 ,5369.93 ,1.11 ,65.10 ,28.19 , 
545966254 ,5376.34 ,16.80 ,113.93 ,101.64 , 
546033364 ,5363.53 ,6.74 ,179.04 ,171.48 , 
546100384 ,5369.29 ,1.11 ,162.76 ,122.88 , 
546167436 ,5364.81 ,0.00 ,195.31 ,48.83 , 
546234328 ,5368.01 ,4.44 ,97.66 ,84.57 , 
546301474 ,5372.49 ,5.09 ,146.48 ,48.83 , 
546368530 ,5371.21 ,11.27 ,81.38 ,56.38 , 
546435594 ,5372.49 ,5.09 ,260.42 ,74.59 , 
546502612 ,5374.42 ,8.39 ,146.48 ,169.15 , 
546569672 ,5378.27 ,11.73 ,113.93 ,56.38 , 
546636732 ,5369.93 ,1.11 ,211.59 ,240.86 , 
546703764 ,5368.01 ,2.93 ,65.10 ,28.19 , 
546770744 ,5369.29 ,8.00 ,162.76 ,140.95 , 
546837830 ,5369.93 ,1.11 ,97.66 ,84.57 , 
546904820 ,5370.57 ,5.77 ,195.31 ,48.83 , 
546971886 ,5365.45 ,4.43 ,195.31 ,176.05 , 
547038962 ,5369.93 ,1.11 ,211.59 ,156.96 , 
547105996 ,5380.84 ,10.63 ,146.48 ,169.15 , 
547173062 ,5371.21 ,6.75 ,276.69 ,230.75 , 
547240096 ,5369.29 ,1.11 ,65.10 ,74.59 , 
547307072 ,5376.34 ,16.69 ,195.31 ,169.15 , 
547374196 ,5368.01 ,4.44 ,48.83 ,48.83 , 
547441154 ,5370.57 ,0.00 ,211.59 ,122.88 , 
547508116 ,5378.91 ,13.95 ,81.38 ,56.38 , 
547575288 ,5373.13 ,4.44 ,162.76 ,28.19 , 
547642320 ,5365.45 ,7.27 ,146.48 ,169.15 , 
547709368 ,5371.85 ,12.22 ,179.04 ,28.19 , 
547776436 ,5369.93 ,2.22 ,65.10 ,28.19 , 
