Command: ,5.00T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
827561804 ,3710.12 ,1.84 ,162.76 ,197.34 , 
827660064 ,3716.55 ,4.87 ,146.48 ,129.19 , 
827757002 ,3714.10 ,6.12 ,130.21 ,101.64 , 
827853910 ,3715.94 ,5.07 ,162.76 ,122.88 , 
827950812 ,3717.16 ,4.15 ,162.76 ,203.29 , 
828047742 ,3717.16 ,5.32 ,32.55 ,28.19 , 
828144616 ,3714.10 ,3.83 ,65.10 ,74.59 , 
828241548 ,3715.63 ,6.04 ,48.83 ,48.83 , 
828338464 ,3716.55 ,5.13 ,162.76 ,112.76 , 
828435450 ,3717.47 ,5.60 ,48.83 ,0.00 , 
828532092 ,3714.10 ,7.14 ,65.10 ,56.38 , 
828629218 ,3714.10 ,6.12 ,146.48 ,129.19 , 
828726206 ,3715.32 ,4.63 ,113.93 ,56.38 , 
828823102 ,3716.24 ,5.55 ,97.66 ,129.19 , 
828920006 ,3716.55 ,5.13 ,146.48 ,129.19 , 
829016980 ,3710.73 ,0.53 ,81.38 ,28.19 , 
829113828 ,3715.94 ,5.62 ,48.83 ,0.00 , 
829210538 ,3715.63 ,8.78 ,146.48 ,84.57 , 
829307666 ,3713.79 ,6.37 ,97.66 ,97.66 , 
829404540 ,3716.24 ,5.63 ,65.10 ,28.19 , 
829501476 ,3715.63 ,6.04 ,179.04 ,74.59 , 
829598416 ,3715.94 ,3.83 ,81.38 ,101.64 , 
829695332 ,3714.10 ,5.31 ,81.38 ,56.38 , 
829792196 ,3713.18 ,7.14 ,146.48 ,146.48 , 
829889142 ,3711.65 ,0.53 ,179.04 ,140.95 , 
829986050 ,3713.18 ,4.53 ,146.48 ,129.19 , 
830082970 ,3715.02 ,4.72 ,162.76 ,171.48 , 
830179884 ,3713.48 ,5.91 ,162.76 ,122.88 , 
830276784 ,3714.40 ,5.23 ,81.38 ,56.38 , 
830373616 ,3713.18 ,3.71 ,130.21 ,140.95 , 
830470568 ,3711.65 ,2.65 ,113.93 ,74.59 , 
830567430 ,3714.71 ,5.60 ,113.93 ,74.59 , 
830664322 ,3717.47 ,4.88 ,97.66 ,48.83 , 
830761194 ,3713.18 ,7.14 ,146.48 ,212.84 , 
830858160 ,3715.02 ,5.07 ,81.38 ,74.59 , 
830954998 ,3711.34 ,0.53 ,162.76 ,122.88 , 
831051932 ,3710.12 ,0.92 ,130.21 ,101.64 , 
831148802 ,3721.16 ,0.92 ,162.76 ,156.96 , 
831245674 ,3716.24 ,4.72 ,65.10 ,28.19 , 
831342546 ,3713.79 ,1.59 ,32.55 ,28.19 , 
831439446 ,3717.47 ,4.88 ,97.66 ,97.66 , 
831536332 ,3720.55 ,0.53 ,130.21 ,74.59 , 
831633254 ,3719.93 ,2.13 ,146.48 ,48.83 , 
831730136 ,3711.03 ,0.92 ,162.76 ,112.76 , 
831827040 ,3719.32 ,6.65 ,130.21 ,140.95 , 
831923942 ,3716.86 ,5.07 ,97.66 ,97.66 , 
832020762 ,3716.55 ,5.13 ,130.21 ,184.86 , 
832117710 ,3717.16 ,6.13 ,179.04 ,140.95 , 
832214562 ,3716.24 ,5.24 ,162.76 ,156.96 , 
832311442 ,3720.24 ,0.92 ,113.93 ,156.96 , 
832408316 ,3710.42 ,0.53 ,81.38 ,28.19 , 
832505170 ,3712.87 ,6.63 ,162.76 ,156.96 , 
832602098 ,3719.32 ,4.02 ,65.10 ,74.59 , 
832698958 ,3712.87 ,2.43 ,113.93 ,74.59 , 
832795868 ,3714.40 ,5.07 ,146.48 ,129.19 , 
832892752 ,3719.62 ,1.92 ,146.48 ,129.19 , 
832989660 ,3717.78 ,5.07 ,32.55 ,28.19 , 
833086498 ,3717.16 ,7.73 ,97.66 ,48.83 , 
833183382 ,3715.63 ,4.60 ,146.48 ,129.19 , 
833280328 ,3713.18 ,3.71 ,146.48 ,212.84 , 
833377236 ,3717.47 ,5.60 ,130.21 ,101.64 , 
833474116 ,3717.47 ,5.13 ,227.87 ,156.96 , 
833571018 ,3712.26 ,2.95 ,146.48 ,129.19 , 
833667896 ,3717.47 ,5.60 ,65.10 ,28.19 , 
833764730 ,3713.18 ,6.26 ,130.21 ,140.95 , 
833861690 ,3716.86 ,6.13 ,195.31 ,129.19 , 
833958612 ,3715.63 ,6.04 ,65.10 ,28.19 , 
834055462 ,3715.32 ,5.55 ,113.93 ,56.38 , 
834152374 ,3716.55 ,5.13 ,130.21 ,101.64 , 
834249300 ,3719.01 ,5.40 ,227.87 ,156.96 , 
834346212 ,3713.18 ,3.83 ,48.83 ,84.57 , 
834443074 ,3716.24 ,3.49 ,48.83 ,0.00 , 
834539796 ,3717.16 ,6.91 ,130.21 ,101.64 , 
834636944 ,3714.40 ,5.07 ,130.21 ,140.95 , 
834733818 ,3709.50 ,1.91 ,32.55 ,28.19 , 
834830696 ,3717.47 ,6.38 ,113.93 ,56.38 , 
834927612 ,3719.32 ,4.02 ,97.66 ,0.00 , 
835024304 ,3713.79 ,4.87 ,48.83 ,48.83 , 
835121388 ,3716.24 ,5.63 ,65.10 ,28.19 , 
835218334 ,3714.10 ,6.12 ,195.31 ,97.66 , 
835315240 ,3716.24 ,5.24 ,162.76 ,156.96 , 
835412174 ,3713.18 ,6.96 ,179.04 ,112.76 , 
835509074 ,3717.47 ,5.60 ,48.83 ,48.83 , 
835605906 ,3713.79 ,4.01 ,130.21 ,101.64 , 
835702890 ,3712.56 ,1.91 ,81.38 ,28.19 , 
835799764 ,3713.79 ,8.02 ,32.55 ,28.19 , 
835896650 ,3720.85 ,0.53 ,97.66 ,129.19 , 
835993558 ,3709.81 ,2.12 ,130.21 ,184.86 , 
836090498 ,3711.65 ,0.53 ,113.93 ,112.76 , 
836187384 ,3715.32 ,4.63 ,32.55 ,28.19 , 
836284248 ,3715.32 ,4.63 ,113.93 ,112.76 , 
836381206 ,3717.16 ,6.91 ,130.21 ,184.86 , 
836478110 ,3714.40 ,5.07 ,113.93 ,28.19 , 
836574962 ,3715.63 ,5.75 ,113.93 ,74.59 , 
836671854 ,3715.02 ,5.07 ,81.38 ,101.64 , 
836768734 ,3721.16 ,0.92 ,113.93 ,74.59 , 
836865612 ,3710.73 ,1.40 ,162.76 ,156.96 , 
836962538 ,3719.93 ,2.32 ,130.21 ,101.64 , 
837059448 ,3715.32 ,4.63 ,81.38 ,56.38 , 
837156274 ,3721.16 ,0.92 ,113.93 ,112.76 , 
837253186 ,3710.42 ,1.06 ,179.04 ,140.95 , 
837350084 ,3711.65 ,1.40 ,81.38 ,28.19 , 
837446906 ,3719.62 ,1.92 ,146.48 ,169.15 , 
837543856 ,3715.32 ,4.63 ,48.83 ,48.83 , 
837640694 ,3710.42 ,1.06 ,195.31 ,146.48 , 
837737618 ,3717.47 ,6.45 ,65.10 ,74.59 , 
837834432 ,3713.48 ,3.48 ,81.38 ,28.19 , 
837931314 ,3718.70 ,3.49 ,146.48 ,129.19 , 
838028226 ,3718.39 ,4.02 ,65.10 ,28.19 , 
838125052 ,3720.85 ,1.41 ,97.66 ,48.83 , 
838221922 ,3713.18 ,3.83 ,97.66 ,48.83 , 
838318834 ,3710.73 ,0.53 ,65.10 ,28.19 , 
838415718 ,3711.95 ,2.43 ,146.48 ,97.66 , 
838512600 ,3719.62 ,1.92 ,130.21 ,122.88 , 
838609508 ,3711.65 ,0.53 ,113.93 ,28.19 , 
838706364 ,3716.55 ,4.22 ,81.38 ,28.19 , 
838803208 ,3715.32 ,8.25 ,81.38 ,56.38 , 
838900098 ,3715.32 ,5.23 ,179.04 ,74.59 , 
838997014 ,3721.47 ,0.53 ,65.10 ,56.38 , 
839093850 ,3720.85 ,2.13 ,162.76 ,156.96 , 
839190794 ,3717.47 ,5.60 ,81.38 ,28.19 , 
839287640 ,3711.95 ,2.43 ,146.48 ,84.57 , 
839384530 ,3719.01 ,4.55 ,32.55 ,28.19 , 
839481398 ,3716.86 ,4.64 ,97.66 ,84.57 , 
839578332 ,3714.40 ,6.65 ,146.48 ,169.15 , 
839675240 ,3709.81 ,1.40 ,130.21 ,140.95 , 
839772128 ,3711.65 ,1.91 ,65.10 ,28.19 , 
839868968 ,3721.78 ,0.53 ,162.76 ,122.88 , 
839965908 ,3716.86 ,6.13 ,48.83 ,48.83 , 
840062738 ,3716.55 ,4.87 ,162.76 ,122.88 , 
840159700 ,3711.95 ,1.59 ,81.38 ,28.19 , 
840256538 ,3718.09 ,4.55 ,97.66 ,0.00 , 
840353232 ,3713.79 ,8.17 ,146.48 ,176.05 , 
840450376 ,3717.78 ,5.85 ,97.66 ,84.57 , 
840547234 ,3716.55 ,4.87 ,32.55 ,28.19 , 
840644140 ,3717.47 ,3.19 ,16.27 ,28.19 , 
840741022 ,3713.48 ,3.48 ,179.04 ,112.76 , 
840837980 ,3710.73 ,0.53 ,113.93 ,74.59 , 
840934870 ,3713.79 ,4.01 ,97.66 ,97.66 , 
841031732 ,3712.26 ,2.95 ,48.83 ,0.00 , 
841128464 ,3712.26 ,7.43 ,227.87 ,156.96 , 
841225616 ,3712.87 ,4.01 ,97.66 ,48.83 , 
841322464 ,3713.79 ,7.30 ,65.10 ,56.38 , 
841419414 ,3714.71 ,6.37 ,130.21 ,184.86 , 
841516350 ,3715.02 ,5.07 ,65.10 ,28.19 , 
841613210 ,3713.18 ,3.71 ,97.66 ,84.57 , 
841710140 ,3718.39 ,5.61 ,97.66 ,48.83 , 
841807018 ,3713.18 ,6.26 ,65.10 ,28.19 , 
841903954 ,3711.95 ,2.43 ,81.38 ,28.19 , 
842000892 ,3716.86 ,5.07 ,48.83 ,129.19 , 
842097826 ,3714.40 ,5.23 ,179.04 ,140.95 , 
842194740 ,3716.24 ,5.63 ,48.83 ,48.83 , 
842291600 ,3717.78 ,5.92 ,65.10 ,28.19 , 
842388552 ,3711.95 ,1.84 ,179.04 ,149.17 , 
842485520 ,3716.86 ,5.07 ,113.93 ,112.76 , 
842582444 ,3713.18 ,7.14 ,97.66 ,48.83 , 
842679334 ,3714.71 ,6.37 ,130.21 ,184.86 , 
842776300 ,3712.56 ,1.40 ,146.48 ,129.19 , 
842873216 ,3716.24 ,5.39 ,130.21 ,149.17 , 
842970154 ,3714.40 ,6.65 ,97.66 ,48.83 , 
843067014 ,3713.48 ,5.91 ,48.83 ,0.00 , 
843163756 ,3715.32 ,5.23 ,130.21 ,184.86 , 
843260936 ,3713.48 ,7.49 ,81.38 ,28.19 , 
843357842 ,3711.65 ,0.53 ,65.10 ,28.19 , 
843454744 ,3713.18 ,4.53 ,113.93 ,74.59 , 
843551692 ,3710.42 ,0.53 ,162.76 ,112.76 , 
843648638 ,3712.87 ,2.43 ,179.04 ,225.53 , 
843745554 ,3716.55 ,4.87 ,32.55 ,56.38 , 
843842434 ,3716.55 ,4.87 ,81.38 ,28.19 , 
843939392 ,3715.02 ,5.31 ,97.66 ,48.83 , 
844036300 ,3711.95 ,2.43 ,113.93 ,74.59 , 
844133270 ,3711.95 ,1.59 ,97.66 ,97.66 , 
844230148 ,3718.70 ,5.08 ,81.38 ,56.38 , 
844327100 ,3713.48 ,3.72 ,97.66 ,48.83 , 
844424032 ,3715.32 ,5.55 ,97.66 ,129.19 , 
844520992 ,3716.24 ,5.55 ,48.83 ,0.00 , 
844617698 ,3717.78 ,5.07 ,97.66 ,0.00 , 
844714612 ,3716.55 ,7.97 ,65.10 ,28.19 , 
844811746 ,3714.40 ,5.91 ,65.10 ,28.19 , 
844908700 ,3712.26 ,2.31 ,227.87 ,101.64 , 
845005678 ,3715.32 ,5.55 ,146.48 ,129.19 , 
845102604 ,3710.42 ,1.06 ,65.10 ,28.19 , 
845199516 ,3710.73 ,1.06 ,81.38 ,101.64 , 
845296454 ,3715.32 ,5.23 ,162.76 ,156.96 , 
845393402 ,3715.94 ,4.72 ,130.21 ,101.64 , 
845490340 ,3714.71 ,6.37 ,162.76 ,156.96 , 
845587258 ,3712.87 ,4.01 ,113.93 ,74.59 , 
845684168 ,3715.63 ,4.60 ,162.76 ,74.59 , 
845781088 ,3712.26 ,2.31 ,48.83 ,0.00 , 
845877800 ,3714.40 ,6.65 ,48.83 ,48.83 , 
845974882 ,3716.24 ,5.39 ,81.38 ,28.19 , 
846071822 ,3714.40 ,5.07 ,97.66 ,84.57 , 
846168734 ,3712.56 ,7.02 ,113.93 ,74.59 , 
846265688 ,3715.02 ,5.62 ,32.55 ,28.19 , 
846362586 ,3714.10 ,6.52 ,97.66 ,84.57 , 
846459522 ,3714.71 ,4.78 ,130.21 ,149.17 , 
846556464 ,3716.55 ,4.87 ,81.38 ,28.19 , 
846653340 ,3711.65 ,1.91 ,48.83 ,48.83 , 
846750254 ,3715.32 ,5.92 ,48.83 ,0.00 , 
846846980 ,3716.55 ,4.87 ,32.55 ,28.19 , 
846944100 ,3716.55 ,4.87 ,179.04 ,149.17 , 
847041082 ,3715.94 ,5.07 ,97.66 ,0.00 , 
847137780 ,3714.40 ,6.65 ,65.10 ,28.19 , 
847234868 ,3716.55 ,7.97 ,97.66 ,48.83 , 
847331776 ,3718.09 ,5.32 ,130.21 ,184.86 , 
847428764 ,3710.12 ,1.84 ,211.59 ,101.64 , 
847525680 ,3715.32 ,4.63 ,179.04 ,56.38 , 
847622570 ,3716.24 ,5.63 ,113.93 ,28.19 , 
847719500 ,3715.02 ,5.39 ,48.83 ,84.57 , 
847816384 ,3713.48 ,3.48 ,97.66 ,48.83 , 
847913286 ,3718.70 ,7.68 ,195.31 ,129.19 , 
848010256 ,3714.71 ,6.37 ,113.93 ,112.76 , 
848107180 ,3710.73 ,1.06 ,146.48 ,84.57 , 
848204056 ,3713.18 ,3.71 ,113.93 ,156.96 , 
848301006 ,3715.32 ,5.55 ,146.48 ,84.57 , 
848397896 ,3715.32 ,6.66 ,65.10 ,74.59 , 
848494770 ,3716.86 ,5.92 ,48.83 ,48.83 , 
848591656 ,3714.10 ,6.12 ,146.48 ,169.15 , 
848688620 ,3717.16 ,5.63 ,81.38 ,74.59 , 
848785510 ,3713.18 ,1.06 ,65.10 ,28.19 , 
848882432 ,3713.18 ,4.53 ,65.10 ,56.38 , 
848979354 ,3714.10 ,6.12 ,48.83 ,0.00 , 
849076050 ,3716.86 ,5.92 ,48.83 ,48.83 , 
849173128 ,3715.63 ,4.87 ,48.83 ,48.83 , 
849270046 ,3711.65 ,1.91 ,97.66 ,0.00 , 
849366814 ,3713.48 ,7.65 ,113.93 ,28.19 , 
849463960 ,3713.79 ,5.74 ,48.83 ,48.83 , 
849560846 ,3715.02 ,5.62 ,97.66 ,0.00 , 
849657588 ,3711.65 ,1.91 ,48.83 ,0.00 , 
849754502 ,3714.10 ,7.14 ,130.21 ,56.38 , 
849851634 ,3710.42 ,0.53 ,130.21 ,122.88 , 
849948590 ,3716.24 ,5.63 ,146.48 ,97.66 , 
850045468 ,3717.47 ,3.19 ,81.38 ,28.19 , 
850142392 ,3716.55 ,5.13 ,65.10 ,28.19 , 
850239340 ,3717.16 ,6.13 ,81.38 ,28.19 , 
850336240 ,3710.42 ,1.91 ,97.66 ,48.83 , 
850433158 ,3717.78 ,6.67 ,32.55 ,74.59 , 
850530092 ,3715.32 ,5.55 ,146.48 ,48.83 , 
850627032 ,3717.16 ,4.73 ,65.10 ,101.64 , 
850723984 ,3710.12 ,2.43 ,97.66 ,84.57 , 
850820890 ,3713.79 ,5.59 ,162.76 ,122.88 , 
850917832 ,3715.32 ,5.55 ,48.83 ,48.83 , 
851014684 ,3717.16 ,5.40 ,146.48 ,129.19 , 
851111662 ,3714.40 ,5.07 ,130.21 ,149.17 , 
851208582 ,3716.24 ,4.72 ,179.04 ,149.17 , 
851305504 ,3716.24 ,4.35 ,32.55 ,28.19 , 
851402402 ,3713.48 ,4.34 ,162.76 ,156.96 , 
851499372 ,3710.73 ,0.53 ,48.83 ,48.83 , 
851596210 ,3717.16 ,5.40 ,146.48 ,129.19 , 
851693190 ,3715.32 ,5.07 ,195.31 ,146.48 , 
851790114 ,3715.02 ,5.62 ,179.04 ,184.86 , 
851887034 ,3716.24 ,4.72 ,97.66 ,48.83 , 
851983888 ,3714.10 ,4.54 ,97.66 ,48.83 , 
852080810 ,3714.40 ,5.07 ,130.21 ,56.38 , 
852177732 ,3715.32 ,5.23 ,97.66 ,48.83 , 
852274596 ,3717.16 ,4.73 ,130.21 ,101.64 , 
852371576 ,3717.78 ,5.92 ,146.48 ,176.05 , 
852468468 ,3713.48 ,5.91 ,48.83 ,0.00 , 
852565128 ,3718.70 ,4.26 ,162.76 ,156.96 , 
852662264 ,3715.32 ,4.63 ,162.76 ,74.59 , 
852759144 ,3711.65 ,0.53 ,130.21 ,101.64 , 
852856042 ,3716.24 ,5.39 ,97.66 ,129.19 , 
852952920 ,3717.47 ,5.60 ,162.76 ,101.64 , 
853049828 ,3713.18 ,4.53 ,113.93 ,156.96 , 
853146702 ,3715.94 ,7.72 ,81.38 ,28.19 , 
853243548 ,3713.48 ,7.49 ,146.48 ,129.19 , 
