Command: ,6.25T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
173726786 ,4247.29 ,4.86 ,276.69 ,122.88 , 
173812802 ,4252.10 ,6.07 ,65.10 ,74.59 , 
173897368 ,4258.14 ,5.45 ,32.55 ,28.19 , 
173982002 ,4253.31 ,7.66 ,146.48 ,48.83 , 
174066634 ,4251.70 ,6.38 ,81.38 ,74.59 , 
174151240 ,4254.51 ,7.76 ,81.38 ,28.19 , 
174235876 ,4253.71 ,4.24 ,97.66 ,48.83 , 
174320494 ,4251.70 ,6.71 ,227.87 ,197.34 , 
174405164 ,4256.53 ,3.20 ,81.38 ,28.19 , 
174489710 ,4255.32 ,4.18 ,130.21 ,149.17 , 
174574386 ,4256.53 ,2.09 ,130.21 ,74.59 , 
174658982 ,4252.10 ,6.85 ,81.38 ,74.59 , 
174743604 ,4259.35 ,3.89 ,162.76 ,197.34 , 
174828254 ,4257.33 ,3.04 ,48.83 ,0.00 , 
174912626 ,4252.10 ,6.85 ,162.76 ,240.86 , 
174997472 ,4252.91 ,4.82 ,113.93 ,28.19 , 
175082086 ,4250.09 ,7.74 ,130.21 ,74.59 , 
175166704 ,4256.12 ,2.79 ,130.21 ,56.38 , 
175251320 ,4257.73 ,0.00 ,113.93 ,56.38 , 
175335806 ,4254.92 ,3.88 ,48.83 ,48.83 , 
175420526 ,4252.91 ,5.53 ,244.14 ,169.15 , 
175505214 ,4256.53 ,2.09 ,81.38 ,56.38 , 
175589764 ,4254.92 ,4.88 ,81.38 ,74.59 , 
175674386 ,4256.53 ,3.20 ,97.66 ,48.83 , 
175758992 ,4252.50 ,7.37 ,162.76 ,101.64 , 
175843692 ,4259.35 ,2.79 ,81.38 ,74.59 , 
175928232 ,4256.53 ,2.09 ,227.87 ,156.96 , 
176012876 ,4253.31 ,5.70 ,48.83 ,48.83 , 
176097408 ,4251.70 ,4.17 ,81.38 ,28.19 , 
176182028 ,4250.50 ,6.71 ,179.04 ,184.86 , 
176266648 ,4251.70 ,6.71 ,97.66 ,48.83 , 
176351172 ,4258.14 ,0.70 ,130.21 ,225.53 , 
176435846 ,4254.92 ,3.88 ,65.10 ,56.38 , 
176520388 ,4252.10 ,6.85 ,65.10 ,28.19 , 
176604984 ,4256.12 ,1.84 ,32.55 ,28.19 , 
176689560 ,4258.94 ,2.09 ,162.76 ,156.96 , 
176774202 ,4252.50 ,6.19 ,130.21 ,101.64 , 
176858784 ,4257.33 ,1.85 ,130.21 ,28.19 , 
176943350 ,4248.89 ,7.64 ,65.10 ,56.38 , 
177027874 ,4256.53 ,2.09 ,16.27 ,28.19 , 
177112436 ,4254.92 ,4.88 ,211.59 ,122.88 , 
177197066 ,4254.92 ,3.48 ,48.83 ,0.00 , 
177281400 ,4256.12 ,5.03 ,195.31 ,212.84 , 
177366220 ,4261.36 ,6.29 ,195.31 ,146.48 , 
177450778 ,4257.73 ,0.00 ,162.76 ,197.34 , 
177535236 ,4260.96 ,5.59 ,65.10 ,28.19 , 
177619886 ,4256.12 ,2.79 ,97.66 ,0.00 , 
177704276 ,4256.12 ,5.96 ,146.48 ,129.19 , 
177789070 ,4256.93 ,1.39 ,97.66 ,129.19 , 
177873638 ,4256.93 ,1.39 ,65.10 ,28.19 , 
177958192 ,4253.71 ,4.24 ,97.66 ,84.57 , 
178042784 ,4257.73 ,0.00 ,97.66 ,48.83 , 
178127206 ,4256.53 ,3.20 ,81.38 ,28.19 , 
178211916 ,4258.14 ,0.70 ,81.38 ,101.64 , 
178296528 ,4254.11 ,4.35 ,48.83 ,48.83 , 
178381072 ,4256.53 ,2.09 ,113.93 ,74.59 , 
178465702 ,4260.96 ,5.59 ,211.59 ,101.64 , 
178550288 ,4259.75 ,2.52 ,113.93 ,56.38 , 
178634838 ,4256.93 ,2.51 ,97.66 ,48.83 , 
178719368 ,4257.73 ,2.42 ,162.76 ,112.76 , 
178804010 ,4254.92 ,4.88 ,65.10 ,28.19 , 
178888552 ,4260.96 ,5.59 ,146.48 ,84.57 , 
178973148 ,4255.32 ,6.39 ,179.04 ,101.64 , 
179057744 ,4259.35 ,6.66 ,81.38 ,56.38 , 
179142288 ,4260.56 ,3.05 ,195.31 ,146.48 , 
179226906 ,4256.12 ,2.79 ,179.04 ,149.17 , 
179311496 ,4253.31 ,7.66 ,81.38 ,28.19 , 
179396028 ,4250.09 ,5.01 ,113.93 ,56.38 , 
179480622 ,4257.33 ,3.04 ,65.10 ,56.38 , 
179565180 ,4252.91 ,6.71 ,146.48 ,97.66 , 
179649752 ,4256.12 ,2.79 ,113.93 ,28.19 , 
179734324 ,4260.96 ,5.59 ,65.10 ,112.76 , 
179818880 ,4258.14 ,4.25 ,113.93 ,74.59 , 
179903484 ,4257.73 ,0.00 ,65.10 ,74.59 , 
179987856 ,4257.33 ,3.88 ,97.66 ,48.83 , 
180072520 ,4259.75 ,2.52 ,162.76 ,101.64 , 
180157136 ,4256.12 ,1.39 ,65.10 ,28.19 , 
180241654 ,4256.53 ,2.09 ,162.76 ,156.96 , 
180326256 ,4256.53 ,2.09 ,65.10 ,56.38 , 
180410754 ,4259.35 ,2.79 ,113.93 ,74.59 , 
180495348 ,4256.53 ,2.09 ,81.38 ,56.38 , 
180579874 ,4257.33 ,1.85 ,227.87 ,184.86 , 
180664502 ,4255.72 ,3.49 ,65.10 ,28.19 , 
180748980 ,4256.93 ,2.51 ,81.38 ,56.38 , 
180833536 ,4256.53 ,2.09 ,146.48 ,97.66 , 
180918090 ,4259.35 ,7.39 ,113.93 ,56.38 , 
181002662 ,4255.32 ,5.26 ,130.21 ,101.64 , 
181087240 ,4256.12 ,1.84 ,81.38 ,56.38 , 
181171734 ,4259.35 ,1.40 ,97.66 ,0.00 , 
181256088 ,4257.73 ,4.36 ,195.31 ,169.15 , 
181340864 ,4257.73 ,2.42 ,81.38 ,56.38 , 
181425378 ,4256.12 ,2.79 ,195.31 ,97.66 , 
181509942 ,4256.53 ,2.09 ,65.10 ,28.19 , 
181594482 ,4256.53 ,2.09 ,195.31 ,129.19 , 
181679102 ,4258.94 ,4.36 ,179.04 ,140.95 , 
181763662 ,4258.94 ,1.21 ,130.21 ,28.19 , 
181848186 ,4256.93 ,1.39 ,162.76 ,197.34 , 
181932780 ,4256.12 ,5.03 ,65.10 ,28.19 , 
182017264 ,4259.75 ,6.88 ,179.04 ,149.17 , 
182101884 ,4256.12 ,2.79 ,65.10 ,28.19 , 
182186432 ,4256.12 ,2.79 ,179.04 ,101.64 , 
182271022 ,4259.75 ,3.49 ,48.83 ,48.83 , 
182355526 ,4253.31 ,5.70 ,65.10 ,56.38 , 
182440086 ,4257.33 ,3.04 ,113.93 ,56.38 , 
182524692 ,4260.15 ,2.42 ,81.38 ,28.19 , 
182609202 ,4256.12 ,2.79 ,48.83 ,48.83 , 
182693754 ,4256.53 ,2.09 ,195.31 ,97.66 , 
182778342 ,4255.72 ,1.84 ,32.55 ,28.19 , 
182862902 ,4255.72 ,5.71 ,113.93 ,56.38 , 
182947518 ,4253.31 ,7.27 ,65.10 ,28.19 , 
183032048 ,4257.73 ,0.00 ,179.04 ,122.88 , 
183116524 ,4257.73 ,9.67 ,146.48 ,169.15 , 
183201224 ,4256.53 ,2.09 ,130.21 ,140.95 , 
183285810 ,4256.93 ,1.39 ,81.38 ,28.19 , 
183370306 ,4257.33 ,3.88 ,81.38 ,28.19 , 
183454876 ,4252.10 ,6.07 ,65.10 ,56.38 , 
183539448 ,4257.73 ,8.46 ,81.38 ,74.59 , 
183624026 ,4253.31 ,7.66 ,244.14 ,129.19 , 
183708662 ,4260.96 ,5.59 ,162.76 ,101.64 , 
183793236 ,4260.96 ,3.70 ,65.10 ,56.38 , 
183877756 ,4255.72 ,2.79 ,48.83 ,0.00 , 
183962156 ,4251.70 ,6.71 ,113.93 ,203.29 , 
184046976 ,4251.70 ,6.71 ,162.76 ,156.96 , 
184131534 ,4259.35 ,2.79 ,65.10 ,28.19 , 
184216054 ,4257.73 ,2.42 ,81.38 ,56.38 , 
184300628 ,4257.33 ,3.04 ,113.93 ,28.19 , 
184385262 ,4255.72 ,5.71 ,146.48 ,169.15 , 
184469842 ,4251.70 ,6.71 ,113.93 ,28.19 , 
184554402 ,4256.12 ,2.79 ,179.04 ,140.95 , 
184638980 ,4254.11 ,4.35 ,48.83 ,0.00 , 
184723322 ,4255.72 ,5.71 ,179.04 ,149.17 , 
184808132 ,4262.17 ,4.59 ,162.76 ,156.96 , 
184892688 ,4253.31 ,7.66 ,113.93 ,74.59 , 
184977234 ,4253.71 ,4.24 ,227.87 ,112.76 , 
185061828 ,4256.53 ,2.09 ,65.10 ,74.59 , 
185146358 ,4261.36 ,6.29 ,113.93 ,28.19 , 
185230932 ,4256.53 ,8.46 ,65.10 ,56.38 , 
185315470 ,4252.50 ,6.19 ,195.31 ,176.05 , 
185400078 ,4258.14 ,5.45 ,146.48 ,129.19 , 
185484666 ,4253.71 ,8.03 ,65.10 ,56.38 , 
