Command: ,6.25T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
728284226 ,4262.17 ,8.06 ,81.38 ,28.19 , 
728369304 ,4257.33 ,3.04 ,195.31 ,176.05 , 
728453866 ,4260.56 ,1.85 ,32.55 ,28.19 , 
728538304 ,4256.93 ,1.39 ,81.38 ,28.19 , 
728622804 ,4262.57 ,7.56 ,32.55 ,28.19 , 
728707276 ,4260.15 ,6.74 ,179.04 ,112.76 , 
728791808 ,4259.75 ,1.85 ,32.55 ,28.19 , 
728876250 ,4260.56 ,9.40 ,244.14 ,223.76 , 
728960790 ,4262.17 ,7.69 ,211.59 ,149.17 , 
729045284 ,4256.12 ,1.84 ,146.48 ,212.84 , 
729129764 ,4260.56 ,4.89 ,179.04 ,101.64 , 
729214262 ,4258.94 ,2.09 ,97.66 ,48.83 , 
729298696 ,4260.96 ,8.92 ,195.31 ,129.19 , 
729383250 ,4256.53 ,2.09 ,130.21 ,74.59 , 
729467704 ,4263.79 ,5.28 ,113.93 ,28.19 , 
729552214 ,4263.79 ,6.75 ,162.76 ,122.88 , 
729636742 ,4265.40 ,6.90 ,179.04 ,149.17 , 
729721202 ,4266.62 ,7.71 ,146.48 ,169.15 , 
729805702 ,4262.17 ,8.51 ,146.48 ,146.48 , 
729890204 ,4256.53 ,2.09 ,48.83 ,48.83 , 
729974642 ,4255.32 ,5.26 ,32.55 ,56.38 , 
730059122 ,4260.56 ,4.89 ,81.38 ,101.64 , 
730143638 ,4265.40 ,6.90 ,113.93 ,74.59 , 
730228118 ,4262.57 ,4.85 ,146.48 ,84.57 , 
730312630 ,4257.33 ,0.70 ,195.31 ,176.05 , 
730397138 ,4260.56 ,4.89 ,179.04 ,184.86 , 
730481610 ,4266.62 ,7.71 ,130.21 ,149.17 , 
730566120 ,4253.31 ,4.24 ,162.76 ,156.96 , 
730650626 ,4261.36 ,10.76 ,146.48 ,129.19 , 
730735134 ,4260.56 ,4.89 ,65.10 ,56.38 , 
730819534 ,4261.36 ,6.29 ,81.38 ,74.59 , 
730904034 ,4262.57 ,6.41 ,81.38 ,56.38 , 
730988522 ,4258.54 ,8.58 ,130.21 ,74.59 , 
731073044 ,4258.94 ,1.21 ,146.48 ,129.19 , 
731157524 ,4261.36 ,8.47 ,32.55 ,28.19 , 
731241968 ,4259.35 ,1.40 ,65.10 ,28.19 , 
731326460 ,4262.98 ,4.25 ,81.38 ,56.38 , 
731410948 ,4262.17 ,8.06 ,130.21 ,149.17 , 
731495496 ,4265.40 ,8.77 ,113.93 ,122.88 , 
731579976 ,4256.53 ,6.28 ,48.83 ,0.00 , 
731664244 ,4256.53 ,3.20 ,179.04 ,149.17 , 
731748948 ,4259.35 ,8.58 ,130.21 ,28.19 , 
731833436 ,4262.98 ,7.10 ,146.48 ,129.19 , 
731917916 ,4261.36 ,4.19 ,146.48 ,129.19 , 
732002406 ,4254.92 ,5.95 ,65.10 ,28.19 , 
732086854 ,4263.38 ,5.46 ,81.38 ,56.38 , 
732171330 ,4261.36 ,4.36 ,48.83 ,48.83 , 
732255814 ,4261.36 ,4.19 ,130.21 ,197.34 , 
732340356 ,4263.79 ,6.06 ,146.48 ,146.48 , 
732424838 ,4262.57 ,6.41 ,32.55 ,28.19 , 
732509298 ,4261.77 ,5.04 ,81.38 ,28.19 , 
732593798 ,4258.54 ,0.70 ,130.21 ,56.38 , 
732678304 ,4256.93 ,1.39 ,162.76 ,156.96 , 
732762820 ,4260.96 ,3.70 ,162.76 ,156.96 , 
732847298 ,4255.72 ,2.79 ,162.76 ,122.88 , 
732931794 ,4262.17 ,5.72 ,162.76 ,156.96 , 
733016288 ,4260.96 ,6.67 ,146.48 ,129.19 , 
733100778 ,4260.56 ,1.85 ,211.59 ,101.64 , 
733185272 ,4256.93 ,2.51 ,65.10 ,74.59 , 
733269698 ,4261.36 ,7.36 ,146.48 ,129.19 , 
733354236 ,4262.98 ,9.09 ,113.93 ,56.38 , 
733438706 ,4256.53 ,2.09 ,195.31 ,176.05 , 
733523210 ,4258.94 ,3.20 ,97.66 ,48.83 , 
733607624 ,4263.79 ,5.28 ,130.21 ,149.17 , 
733692172 ,4259.35 ,2.79 ,97.66 ,84.57 , 
733776620 ,4256.53 ,2.09 ,130.21 ,149.17 , 
733861132 ,4267.83 ,5.61 ,162.76 ,156.96 , 
733945614 ,4265.00 ,6.75 ,179.04 ,122.88 , 
734030094 ,4260.96 ,8.92 ,81.38 ,56.38 , 
734114562 ,4263.79 ,6.75 ,32.55 ,28.19 , 
734199020 ,4260.56 ,4.89 ,65.10 ,74.59 , 
734283508 ,4259.35 ,2.79 ,97.66 ,84.57 , 
734367988 ,4255.32 ,2.09 ,130.21 ,184.86 , 
734452536 ,4254.92 ,4.88 ,195.31 ,129.19 , 
734537008 ,4265.00 ,10.50 ,146.48 ,129.19 , 
734621498 ,4257.73 ,0.00 ,146.48 ,129.19 , 
734705838 ,4260.56 ,4.89 ,130.21 ,140.95 , 
734790454 ,4265.00 ,6.75 ,81.38 ,28.19 , 
734874892 ,4258.94 ,11.54 ,65.10 ,74.59 , 
734959404 ,4260.96 ,5.59 ,97.66 ,84.57 , 
735043858 ,4265.00 ,6.75 ,162.76 ,112.76 , 
735128396 ,4254.92 ,2.51 ,195.31 ,146.48 , 
735212904 ,4263.79 ,6.75 ,179.04 ,74.59 , 
735297362 ,4260.96 ,5.59 ,81.38 ,28.19 , 
735381810 ,4257.73 ,0.00 ,65.10 ,28.19 , 
735466170 ,4260.56 ,4.89 ,48.83 ,48.83 , 
735550782 ,4256.53 ,2.09 ,97.66 ,48.83 , 
735635268 ,4263.79 ,6.75 ,81.38 ,56.38 , 
735719752 ,4260.56 ,4.89 ,162.76 ,197.34 , 
735804300 ,4256.53 ,2.09 ,97.66 ,97.66 , 
735888710 ,4262.57 ,4.85 ,113.93 ,112.76 , 
735973256 ,4263.79 ,6.75 ,113.93 ,122.88 , 
736057744 ,4260.56 ,9.40 ,179.04 ,184.86 , 
736142228 ,4257.73 ,0.00 ,97.66 ,84.57 , 
736226554 ,4262.57 ,8.48 ,130.21 ,149.17 , 
736311214 ,4265.00 ,6.75 ,48.83 ,48.83 , 
736395644 ,4263.79 ,6.75 ,81.38 ,74.59 , 
736480156 ,4260.96 ,5.59 ,146.48 ,48.83 , 
736564672 ,4256.53 ,2.09 ,48.83 ,48.83 , 
736649118 ,4257.73 ,8.46 ,65.10 ,56.38 , 
736733636 ,4258.14 ,0.70 ,32.55 ,28.19 , 
736818132 ,4261.36 ,6.29 ,195.31 ,212.84 , 
736902646 ,4262.98 ,9.09 ,179.04 ,184.86 , 
736987132 ,4262.57 ,9.15 ,65.10 ,74.59 , 
737071580 ,4261.77 ,5.97 ,65.10 ,74.59 , 
737156078 ,4256.53 ,1.21 ,179.04 ,184.86 , 
737240588 ,4261.36 ,4.19 ,97.66 ,84.57 , 
737325016 ,4265.81 ,6.23 ,97.66 ,48.83 , 
737409474 ,4263.38 ,5.46 ,81.38 ,56.38 , 
737493968 ,4262.17 ,7.69 ,81.38 ,56.38 , 
737578438 ,4260.56 ,4.89 ,130.21 ,140.95 , 
737662956 ,4266.62 ,7.71 ,81.38 ,101.64 , 
737747390 ,4262.57 ,4.85 ,162.76 ,197.34 , 
737831874 ,4260.56 ,4.89 ,130.21 ,140.95 , 
737916368 ,4265.00 ,10.50 ,81.38 ,28.19 , 
738000780 ,4265.40 ,6.90 ,130.21 ,101.64 , 
738085268 ,4265.40 ,9.80 ,81.38 ,56.38 , 
738169714 ,4262.17 ,9.09 ,211.59 ,203.29 , 
738254254 ,4257.73 ,0.00 ,16.27 ,28.19 , 
738338526 ,4256.53 ,2.09 ,65.10 ,28.19 , 
738423134 ,4257.73 ,0.00 ,179.04 ,184.86 , 
738507536 ,4262.17 ,8.51 ,97.66 ,48.83 , 
738592068 ,4260.96 ,5.59 ,81.38 ,101.64 , 
738676580 ,4265.00 ,6.42 ,97.66 ,129.19 , 
738761036 ,4260.56 ,4.89 ,146.48 ,48.83 , 
738845508 ,4265.40 ,9.80 ,48.83 ,0.00 , 
738929778 ,4262.57 ,8.48 ,81.38 ,74.59 , 
739014448 ,4261.77 ,6.99 ,32.55 ,28.19 , 
739098906 ,4260.56 ,4.89 ,65.10 ,28.19 , 
739183390 ,4258.94 ,2.09 ,113.93 ,112.76 , 
739267898 ,4262.57 ,4.85 ,97.66 ,48.83 , 
739352304 ,4260.56 ,9.40 ,97.66 ,84.57 , 
739436802 ,4260.56 ,4.89 ,179.04 ,184.86 , 
739521316 ,4259.35 ,2.79 ,81.38 ,74.59 , 
739605726 ,4265.40 ,9.80 ,130.21 ,56.38 , 
739690200 ,4263.38 ,5.46 ,97.66 ,97.66 , 
739774644 ,4266.62 ,7.71 ,32.55 ,56.38 , 
739859124 ,4256.93 ,2.51 ,113.93 ,122.88 , 
739943640 ,4264.19 ,6.22 ,179.04 ,140.95 , 
740028108 ,4264.19 ,6.10 ,146.48 ,169.15 , 
740112578 ,4261.77 ,5.04 ,179.04 ,74.59 , 
740197050 ,4261.77 ,4.89 ,130.21 ,101.64 , 
740281540 ,4259.75 ,3.49 ,97.66 ,48.83 , 
740365958 ,4258.14 ,1.85 ,81.38 ,28.19 , 
740450442 ,4263.38 ,3.70 ,97.66 ,48.83 , 
740534924 ,4258.54 ,0.70 ,162.76 ,74.59 , 
740619432 ,4256.93 ,1.39 ,227.87 ,140.95 , 
740703916 ,4260.56 ,3.05 ,97.66 ,97.66 , 
740788306 ,4262.98 ,4.25 ,146.48 ,129.19 , 
740872842 ,4262.17 ,5.72 ,179.04 ,149.17 , 
740957318 ,4265.81 ,9.11 ,130.21 ,56.38 , 
741041762 ,4260.96 ,1.40 ,146.48 ,84.57 , 
741126222 ,4265.81 ,6.23 ,81.38 ,74.59 , 
741210684 ,4257.73 ,2.42 ,146.48 ,146.48 , 
741295202 ,4262.98 ,7.10 ,113.93 ,28.19 , 
741379644 ,4261.77 ,4.89 ,162.76 ,112.76 , 
741464162 ,4264.19 ,7.41 ,130.21 ,122.88 , 
741548644 ,4260.15 ,8.38 ,130.21 ,74.59 , 
741633098 ,4257.33 ,3.88 ,48.83 ,0.00 , 
741717370 ,4262.17 ,3.50 ,97.66 ,0.00 , 
741801836 ,4259.75 ,3.49 ,113.93 ,56.38 , 
741886524 ,4267.02 ,8.26 ,162.76 ,171.48 , 
741971020 ,4261.36 ,4.36 ,179.04 ,171.48 , 
742055520 ,4262.98 ,6.99 ,130.21 ,101.64 , 
742139988 ,4261.36 ,6.29 ,130.21 ,101.64 , 
742224464 ,4260.56 ,3.05 ,130.21 ,184.86 , 
742308940 ,4259.75 ,7.29 ,162.76 ,203.29 , 
742393422 ,4258.14 ,1.85 ,130.21 ,140.95 , 
742477898 ,4265.81 ,9.11 ,130.21 ,112.76 , 
742562366 ,4260.56 ,1.85 ,162.76 ,197.34 , 
742646852 ,4257.33 ,3.04 ,113.93 ,74.59 , 
742731308 ,4267.02 ,8.26 ,130.21 ,74.59 , 
742815810 ,4259.75 ,3.49 ,162.76 ,122.88 , 
742900292 ,4261.36 ,4.19 ,146.48 ,129.19 , 
742984776 ,4259.75 ,2.52 ,81.38 ,56.38 , 
743069232 ,4260.56 ,7.09 ,65.10 ,74.59 , 
743153710 ,4255.72 ,5.71 ,179.04 ,149.17 , 
743238258 ,4256.93 ,3.49 ,146.48 ,48.83 , 
743322690 ,4259.75 ,3.49 ,162.76 ,122.88 , 
743407224 ,4262.17 ,5.72 ,48.83 ,48.83 , 
743491666 ,4261.36 ,10.76 ,113.93 ,122.88 , 
743576248 ,4255.72 ,5.58 ,130.21 ,101.64 , 
743660686 ,4261.36 ,8.47 ,81.38 ,74.59 , 
743745124 ,4266.62 ,8.08 ,146.48 ,48.83 , 
743829642 ,4260.15 ,6.74 ,130.21 ,74.59 , 
743914160 ,4265.00 ,7.95 ,162.76 ,122.88 , 
743998670 ,4261.36 ,8.47 ,162.76 ,74.59 , 
744083138 ,4258.94 ,1.21 ,146.48 ,176.05 , 
744167610 ,4256.53 ,3.20 ,65.10 ,56.38 , 
744252066 ,4262.17 ,8.06 ,179.04 ,122.88 , 
744336618 ,4264.19 ,6.68 ,97.66 ,48.83 , 
744421032 ,4262.17 ,4.59 ,113.93 ,28.19 , 
744505542 ,4260.96 ,9.24 ,97.66 ,48.83 , 
744589996 ,4260.56 ,7.09 ,130.21 ,56.38 , 
744674536 ,4255.72 ,5.71 ,244.14 ,48.83 , 
744759006 ,4262.17 ,4.59 ,81.38 ,28.19 , 
744843446 ,4262.57 ,7.37 ,130.21 ,140.95 , 
744927982 ,4262.17 ,8.51 ,162.76 ,122.88 , 
745012478 ,4261.77 ,10.30 ,162.76 ,140.95 , 
745096982 ,4265.00 ,6.42 ,81.38 ,28.19 , 
745181366 ,4256.12 ,2.79 ,146.48 ,129.19 , 
