Command: ,7.50T ,[mus] ,rpm ,rpm ,s1 ,mA , 
val ,err ,val ,err , 
271859424 ,4881.75 ,15.10 ,113.93 ,56.38 , 
271931390 ,4885.46 ,4.00 ,97.66 ,129.19 , 
272005104 ,4875.93 ,9.15 ,195.31 ,212.84 , 
272078854 ,4884.93 ,3.31 ,81.38 ,56.38 , 
272152536 ,4887.05 ,1.84 ,48.83 ,48.83 , 
272226254 ,4876.99 ,7.32 ,65.10 ,74.59 , 
272300016 ,4886.52 ,5.59 ,276.69 ,149.17 , 
272373818 ,4880.69 ,10.57 ,146.48 ,129.19 , 
272447556 ,4887.05 ,16.57 ,81.38 ,56.38 , 
272521222 ,4877.52 ,6.41 ,227.87 ,149.17 , 
272594980 ,4882.28 ,12.34 ,162.76 ,74.59 , 
272668712 ,4884.40 ,15.17 ,81.38 ,56.38 , 
272742454 ,4880.69 ,5.58 ,97.66 ,84.57 , 
272816152 ,4884.40 ,2.75 ,113.93 ,56.38 , 
272889894 ,4878.58 ,9.02 ,244.14 ,176.05 , 
272963646 ,4884.40 ,2.75 ,81.38 ,28.19 , 
273037324 ,4878.58 ,9.02 ,211.59 ,140.95 , 
273111106 ,4878.58 ,9.02 ,146.48 ,146.48 , 
273184856 ,4875.41 ,5.57 ,113.93 ,56.38 , 
273258582 ,4884.40 ,15.17 ,146.48 ,97.66 , 
273332318 ,4882.28 ,6.42 ,113.93 ,74.59 , 
273406056 ,4883.34 ,2.43 ,179.04 ,149.17 , 
273479842 ,4887.05 ,5.59 ,227.87 ,171.48 , 
273553596 ,4880.16 ,10.08 ,97.66 ,0.00 , 
273627104 ,4881.22 ,5.73 ,195.31 ,129.19 , 
273701064 ,4883.34 ,3.67 ,260.42 ,230.75 , 
273774828 ,4880.16 ,10.08 ,97.66 ,84.57 , 
273848528 ,4884.93 ,1.84 ,113.93 ,74.59 , 
273922288 ,4882.81 ,2.75 ,113.93 ,112.76 , 
273996058 ,4884.93 ,3.31 ,292.97 ,244.14 , 
274069792 ,4878.58 ,9.02 ,97.66 ,48.83 , 
